,feature_importances_
latitude,0.04462933060089849
longitude,0.030616095576329376
year_built_imp_med,0.1648055818852905
buildings_cor,0.003053709128804501
floors_cor_imp_med,0.1258862916277498
units_cor_imp_med,0.027797783407322026
shop_1_dist,0.012205545887211244
shop_2_dist,0.01589101115544294
shop_3_dist,0.015902063284142343
shop_4_dist,0.017030185205869883
shop_5_dist,0.017895867421780485
school_1_dist,0.010615126204351372
school_2_dist,0.008200617534719856
school_3_dist,0.011468558317880437
school_4_dist,0.008072616989943993
school_5_dist,0.00939862181137966
res_1_dist,0.012927362115504059
res_2_dist,0.01298454876784608
res_3_dist,0.01624364647499574
res_4_dist,0.017157498348626725
res_5_dist,0.028802258314975366
hospital_dist,0.03371864743830571
Elevator,0.0004719641422704812
Parking,4.137226786856594e-05
Security,0.00012487409878583807
CCTV,0.0
Pool,0.002632299335145882
Sauna,0.0019186752856339548
Gym,0.0037270113958262413
Garden,0.013050148015192097
Playground,0.0012418936619845574
Shop,0.0031300636290395676
Restaurant,0.0007685920371062176
Wifi,0.001729756405644176
trans_dist_1,0.07022362909636473
trans_dist_2,0.029116594376890802
trans_dist_3,0.011344041500204885
trans_dist_4,0.07207061397704746
trans_dist_5,0.14310550327562402
